"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,Sab kuch acha laga. Jiske pass pure paise nhi hote ushko kam paise me bhi aasan kisto me saaman mil jata hai.,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
7,"Neither good nor bad, it's okay",10,Promoters,"Overall satisfaction – Everything was ok/without problems|Affordable Product & Services - Price, fees and terms"
10,I paid the emi before time so everything is good,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
1,"KISSHT KAM HOKAR JAYGI ,PER EXTRA CHARGE LIYA GAYA",0,Detractor,No positive reason
9,Finance is instant with Home Credit,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,Jiske pass pure paise nhi hote Home Credit se Aasan kisto me saaman mil jata hai.,8,Passive,No positive reason
10,The loan is available within the period.,10,Promoters,Others|Overall satisfaction – Everything was ok/without problems|Customer care service is good
9,ALL GOOD,9,Promoters,Overall satisfaction – Everything was ok/without problems|Good previous experience / HC resolved my problem
10,service is good,10,Promoters,Customer care service is good|Easily available in shops / Dealer recommendation
10,Home credit company is good and loan is available immediately.,10,Promoters,I received the loan from HC when I was in need
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,There should be an option to pay Some amount in advance for Due EMI,10,Promoters,"Application Process - Easy, Fast and Convenient"
8,Why is fast login charged more?,10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,"QUICK , INSTANT LOAN SERVICE IS GOOD",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,service achi hai,10,Promoters,Customer care service is good
10,Pehle Home Credit ki taraf se bhut jyada call aata tha lekin ab itna call msg nhi aata jisse customer ko paresaani nhi hoti.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
7,A lower limit is given and it is better to increase it,4,Detractor,Others
6,phone se EMI pay krne ka option hona chiye.,6,Detractor,Overall satisfaction – Everything was ok/without problems
10,Finance easily available at low rates,10,Promoters,"Affordable Product & Services - Price, fees and terms|Easily available in shops / Dealer recommendation|Quick loan approvals / Higher chances of loan getting approved"
9,"Easy process
Customer Got timely Loan",9,Promoters,I received the loan from HC when I was in need
10,PRODUCT ACHAA LAGA / LOAN LENA ACHAA LGAA,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
10,finance extra mil gaya,9,Promoters,I received the loan from HC when I was in need
7,THE DUE DATES MUST BE ADJUST AS PER CUSTOMER REQUIREMENTS,5,Detractor,No positive reason
10,timely loan mil jata hai,10,Promoters,Already recommended to my friends
6,EMI time pr dene ke bad customer ki i'd block kar di gyi.,6,Detractor,"Affordable Product & Services - Price, fees and terms"
9,फाइनेंस  कराने  के बाद में 1 घंटे में मोबाइल मिल गया था,9,Promoters,Others
10,dealer dwara achi facilites di gayi koi issue nh hua finance lete time,10,Promoters,"Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection"
9,The time available in home credit is very good for paying EMI.,9,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
9,loan offer  is good.,10,Promoters,Provide loans to everyone without loan history or credit score|I received the loan from HC when I was in need
9,"It is good, the product becomes yours, there is not much pressure, you can pay a lot of money ,EMI service is good",9,Promoters,HC removed my late payment charges/penalty charges
10,Home credit agents call and inform before the due date and ask whether there is money in the customer's account or not.,10,Promoters,No positive reason
10,Loan Process acha laga time to time kist ki subidha milti hai. Auto Debit hone ke baad bhi bank se paise cut nhi ho raha hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need|Others
10,The loan has gone very well.,10,Promoters,"HC removed my late payment charges/penalty charges|Affordable Product & Services - Price, fees and terms"
9,interest rate acha laga good product,10,Promoters,Customer care service is good|Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
10,bounce charge nhi liye jate.  home credit me extra  charge nhi liye jate hai,8,Passive,No positive reason
10,The process is good and its process time is also good,10,Promoters,Others|Overall satisfaction – Everything was ok/without problems
9,everything is good,10,Promoters,Already recommended to my friends
10,ALL GOOD,10,Promoters,No positive reason
8,Interest rate thoda sa kam hona chahiye.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
10,Reminder  Message for due EMI,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,paise na hone par bi customer home credit ki help se koi bi product le skte hai,10,Promoters,Overall satisfaction – Everything was ok/without problems|Already recommended to my friends
10,I had no idea about the first loan.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good|HC removed my late payment charges/penalty charges|Others
10,Easly finance,9,Promoters,I received the loan from HC when I was in need
10,low credit  score mai bhi finance mil gaya helful hai bhot,10,Promoters,"Affordable Product & Services - Price, fees and terms|Provide loans to everyone without loan history or credit score|I received the loan from HC when I was in need"
7,file charge bhot jada lete hai.,8,Passive,Good previous experience / HC resolved my problem
5,kist jada kat jati voo jada na kate,3,Detractor,Quick loan approvals / Higher chances of loan getting approved
10,services is good,10,Promoters,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved"
1,ACCOUNT ME PAISE HONE PAR EMI NAHI KATTI AND PANALTY B LGAA DI,1,Detractor,No positive reason
10,time  per loan mil gaya .,10,Promoters,I received the loan from HC when I was in need
10,Home credit told me in advance before deducting the EMI.,10,Promoters,No positive reason|Overall satisfaction – Everything was ok/without problems
9,"Home Credit se Loan easily mill jata hai, documents bhi kam lagta hai. Home Credit ke Agent aur Customer care Agent bhut achhe se baat karte hai sab kuch achhe se clear batate hai.",10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
10,"Home Credit service is good 
Loan is provided easily",10,Promoters,I received the loan from HC when I was in need
10,dealer service and customer care dono hi achi hai essay process,10,Promoters,"Already recommended to my friends|Affordable Product & Services - Price, fees and terms|HC removed my late payment charges/penalty charges"
10,EASY APPLICATION PROCESS AND  INSTANT LOAN SERVICE IS GOOD,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
3,Customer ne paise dukan par jama kar diya tha due date se 4 din pehle hi lekin firr bhi customer ke bank se bhi paise cut ho gye. 2 baar paise cut ho gye islilye customer paresaan hai.,6,Detractor,No positive reason
10,time per loan mil gaya . everything  is good,10,Promoters,I received the loan from HC when I was in need
7,I am not yet fully experienced with home credit.,10,Promoters,"I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Affordable Product & Services - Price, fees and terms"
10,customer ko interest rate kam laga interest rate acha hai,10,Promoters,"Application Process - Easy, Fast and Convenient|Good previous experience / HC resolved my problem|Quick loan approvals / Higher chances of loan getting approved"
10,1st time loan liya hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"Homos Credit service is good, call on time and inform about the due date.",10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
9,finance mill jata hai ur online nahi millta,8,Passive,No positive reason
10,jarurat ke time par jaldi approval mil gaya,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Affordable Product & Services - Price, fees and terms"
10,service is good,10,Promoters,No positive reason
10,finance easy hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,interest rate km hai customer care service or dealer service dono achi hai,10,Promoters,I trust HC / I know this company
10,"EASY APLLICATION PROCESS , LESS TIME CONSUMING LIKE HAND TO HAND YOU GET LOAN",9,Promoters,Customer care service is good
10,Easy payment through home credit,10,Promoters,Good previous experience / HC resolved my problem|Overall satisfaction – Everything was ok/without problems
10,Jarurat ke time par Finance ho gya.,8,Passive,I received the loan from HC when I was in need
10,सर्विस अच्छी है फाइनेंस जल्दी हो गया था,8,Passive,Customer care service is good
10,Home credit is easy to get,10,Promoters,Overall satisfaction – Everything was ok/without problems
