"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
10,overall service is good,10,Promoters,HC removed my late payment charges/penalty charges,,,,No neutral reason,,,No negative reason,,,Yes,loan amount offer limit is good,No,,no suggestion
7,complete jankari mill ni chahiye customer ko,5,Detractor,No positive reason,,,,I don’t like to recommend to anyone.,,,Lack of information provided – about terms / procedures,,,Yes,jarurat ke time loan mill gaya,Yes,customer ko sahi guide nahi kya gaya,no suggestion
9,Loan aasani se aur Jaldi mill jata hai Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Home Credit ki Help se hume bhut fayda hua hai.,Yes,Customer Care par baat nhi ho paati hai.,Customer Care par call jaldi se connect hona chahiye.
5,CUSTOBER CARE ME CALL CONNECT  NAHI HOTIE HAI,8,Passive,Already recommended to my friends,,,,No neutral reason,,,Bad service quality / Problems with service/Bad experience,,,Yes,JALDIE LOAN MIL GYA,Yes,CUSTOBER CARE ME CALL CONNECT  NAHI HOTIE HAI,CUSTOBER CARE  ME CALL DIRECT CONNECT HONIE CHYIE
10,home credit mein jaldi finance ho jata or turant loan mil jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,personal loan hame chahiye thi jiski phone aaya mujhe mil bhi gaya or jada time bhi lga,No,,sujav yh ki  humne kist pahale hi jama kar diya tha lekin extra charge kaat liya or customer car se  baat bhi nahi ho pati
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,loan approval fast hain,No,,no suggestion
10,COMPANY BADIYA H AND JALDI APPROVAL MILL JATA H,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,LOAN JALDI APPROVED HO JATA H,No,,NO SUGGESTION
1,"call support is not good , customer care se baat karna easy nhi hai.",0,Detractor,No positive reason,,,,No neutral reason,,,Bad service quality / Problems with service/Bad experience,,,Yes,time per loan mil jata hai.,Yes,"customer  care se baat karna easy nhi hai , app nhi chalta hai.",call support facility ki jaay.
10,interest rate is good as compare to others company,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,flexible loan service is so good in home credit,No,,no suggestion
10,loan offer / all good,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,customer service achi hai,No,,no suggestion
8,interest rat jada hai,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,loan offer mill jate hai,No,,interest rat kam hona chahiye
10,jarurat k time par loan mil jata hain and interest rate bhi accha hain,10,Promoters,"Application Process - Easy, Fast and Convenient|Good previous experience / HC resolved my problem",,,,No neutral reason,,,No negative reason,,,Yes,interest rate accha hain,Yes,ager customer time se EMI pay nhi kr pata hain too panelty jyada lagti  hain,no suggestion
7,CONDITION CLEARLY NHI BATAI JATI CUSTOMER KO EMI REGARDING,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,EMI PAYMENT KE REGARDING REMINDER CALLS AATE HAI,No,,CUTOMER KO EMI REGARDING INFORMATION DENI CHAHIYE PROPER
9,service acha h or jaldi apply ho jata hai aur main purana customer hu,10,Promoters,Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,time pr loan mil jata h or sb kuch acha h,Yes,maine online upi ke through payment ki thi joki jyada ho gayi thi wo refund abhi tak nahi aaya,loan lene ke liye jyada phone aata hai jabki mere pass offer nahin hota hai to ise confirm karke phone kiya jaye ki mere pass offer h ki nhi
10,jarurat k time loan mill jata h,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jaldi approval ata h and easy   process h,No,,no suggestion
5,LOAN KO CLOSE KARVANE KE LIYA  PROBLAM HOTIE HAI JADA,5,Detractor,No positive reason,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,JALDIE LOAN MIL JATA HAI,No,,AGAR KOI CUSTOBER LOAN LEYNEY KE TWO MONTH BAD HI APNA LOAN CLOSE KARVATA HAI TO USSEY PENDING BALANCE KA  INTEREST NA LIYA JAYE
10,quick loan approval services,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,customer care service is best in home credit,No,,no suggestion
5,interest rat jada hai,5,Detractor,No positive reason,,,,I don’t like to recommend to anyone.,,,High interest rate,,,Yes,loan offer bhi ate hai sab acha hai,No,,no suggestion
10,home credit me finance asani ho jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,time pr loan mil jata h,No,,no suggestion
10,overall service is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,loan approval fast hain,No,,no suggestion
8,customer  care sy sport nahi ho pata h and panelty bhi lagi emi date sy phly,10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,loan jaldi approved ho jata h,No,,no suggestion
9,"Positive* Service is good 
Negative* Never able to talk to Home Credit, if there is an emergency the call never goes through.",9,Promoters,Already recommended to my friends,,,,"Yes, I will recommend the brand to people I know",,,No negative reason|Others,,Unable to call customer care and  Home Credit's customer care team does not want to talk to the customer,Yes,The amount gets credited immediately as soon as you apply for the loan.,Yes,Unable to call customer care and  Home Credit's customer care team does not want to talk to the customer,Customer care has been improved so that customers can easily talk to customer care
10,"flexible loan is good , civil score maintain very good in home credit  ,  less documentation",10,Promoters,Others,,,personal loan is good in home credit,No neutral reason,,,No negative reason,,,Yes,personal loan and flexible loan is good in home credit,Yes,no contact with customer care,"everyone is not educated , so they can't even  know how to mail , that's why there should be a toll free customer care no , where customer should contact in emergency"
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
7,interest rate jada hai,7,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,online process hai ye acha laga,Yes,immediaty close karna hota hai customer ko loan us time par home credit ke kisi employes se sidha baat honi chahiye par nhi ho pati,service center ki suvidha honi chahiye taki customer personally jake issue consult kar sake
8,flexible loan me interest jada hai to forclose krna chahte,8,Passive,No positive reason,,,,Score 10 is too high for evaluation.,,,High interest rate,,,Yes,loan jaldi ho jata . / jada document nhi lagte / service good,Yes,interst jada hai,customer care se contact nhi ho pata /
10,jarurat k time per loan mill jata h,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,Yes,flaxi loan process acha laga and time jaldi loan approved ho jata h,No,,interest rate  kam hona chiye
10,"less documentation and everything arranged online , you don't need to go anywhere and there",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,personal loan and flexible loan is good in home credit,No,,no suggestion
10,loan approval jaldi mil jata hain and interest rate bhi accha hain,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,customer's k document kam lagte hain,No,,local state mein home credit ka office hona chayia
7,loan close karna easy nhi hai .customer care  se  thik se baat nhi hoti hai.= everything is good.,10,Promoters,"I received the loan from HC when I was in need|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,need ke according time loan mil gaya.,No,,loan close karna easy kiya jaay.
9,JALDIE LOAN MIL JATA HAI,9,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL JATA HAI,No,,CUSTOBER CARE ME CALL JALDIE  CONNECT HONIE CHYIE
10,The loan required is available on time.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Loan is available instantly from Home Credit,No,,no suggestion
10,customer get loan when they need,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,customer get loan when they need,No,,no suggestion
1,customer care se contact nhi ho pata hai,0,Detractor,No positive reason,,,,No neutral reason,,,Problem/Issue not resolved by HC,,,Yes,time se loan mil gyaa,Yes,customer care se contact nhi ho pata/ file charges lage proper information nahi di,proper information deni chaiye
10,"loan approval jaldi mil jata hain, and interest rate bhi accha hain",10,Promoters,I received the loan from HC when I was in need|Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,loan approval jaldi mil jata hain,No,,no suggestion
10,Jarurat ke time par mill jata hai loan Home Credit se,10,Promoters,I received the loan from HC when I was in need|Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,No,,No,,Flexible Loan me interest rate thoda sa kam hona chahiye aur Mujhe bhi Home Credit ka Credit Card milna chahiye.
9,Time loans are available.,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
1,jitna interest bataya gya  tha usse jada liya jara,0,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,No,,No,,jo customer ko interest rate  bataya jata hai usse extra liya jata aisa nhi hona  chahiye kisi customer ke sath
7,Flexible loan interest rate is very high,5,Detractor,No positive reason,,,,No neutral reason,,,Lack of information provided – about terms / procedures,,,Yes,The loan was available at the time of need,Yes,लोन की शर्तो और नियमो की पूरी जानकारी provide नहीं की जाती है,"If the customer applies for a loan, then complete information should be given."
10,service is good,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection,,,,No neutral reason,,,No negative reason,,,Yes,Loan gets approved instant. Money comes into the account immediately as the documents are approved and application process is also easy,No,,no suggestion
9,Loans are easily available.,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
10,JALDIE LOAN MIL GYA,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,कोई कारण नहीं
8,interest rate bhut  jada hai,5,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,online lene ki jo prakriya h bahut fast hai ye mujhe acha laga,No,,sujav y h ki interested ko kam kiya jaye
5,information is provided correctly to customer,7,Passive,"Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"every work done timely , like EMI deduct on time,",Yes,"the customer want to change the due date , but they didn't change his due date",interest rate should be reduced
10,interest rate accha hain and EMI time to time auto debit ho jata hain,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,customer care service is good and loan approval fast hain,No,,no suggestion
5,Interest Rate bhut jyada hai Flexible Loan ka.,8,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,High interest rate,,,No,,No,,Interest Rate thoda sa kam hona chahiye.
10,service achchha h or  product or loan finance turant ho jaata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,khas yhi pasand aaya ki flexible loan mil gaya,No,,no suggestion
8,mujhe Extra pay karna padda hai jiski mujhe koi jaankari nhi di hai.,8,Passive,No positive reason,,,,Don’t have much experience to recommend / Too early to comment.,,,No negative reason,,,No,,No,,No Suggestion
10,Because I got the loan at the same time,7,Passive,Easily available in shops / Dealer recommendation,,,,"Yes, I will recommend the brand to people I know",,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,Yes,There is no problem if the payment is not made for a day or two,No,,good services customer care
9,"There is no problem in paying installments in Home Credit and the amount never bounces.
other company bounces the amount even after the installment comes.",9,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,The amount gets credited as quickly as possible through Home Credit.,No,,no suggestion
10,assan processes or jaldi  loan mil jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,time pr loan  loan mil jata h,No,,no suggestion
9,I like the whole system of home credit.,9,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
